author,rating,review
buse2008,5,"Uygulama güzel ve eğlenceli 
Bu uygulamayı çok kullanıcam"
Dkkdkdkdks,5,Daha fazla kıyafet gelsin
rickyçarşı,1,Ücretli olduğu yazılı değildi indşrme sırasında vazgeçtim ve durdurdum şimdi zaten satın aldınız bir dahaki seferede para ödemeyeceksiniz diyor! Bu nasıl bir şey? Ben fiyatını bilmeden neden satın alayım
Harrrrrry3,3,"saç, göz ve dudak seçenekleri çoğaltılsın lütfen. daha güzel olur."
starzyt37981,2,Uygulamadaki bitmojilerkn hepsini goremiyorum yuklenmiyor silip bir daha yukledim bu sefer oturum bile acilmadi surekli hata veriyor..
Memetyyy,1,Defalarca denememe rağmen e mail ile kayıt olmuyor.
NexOwl,5,Please
Berke143,4,Güzel ama daha iyi olabilirdi 😙😍😍😍😍
nosan123,2,PLS GET FACE AND EAR PIERCINGS
bitmoji snap,4,Güzel uygulama snapchat için
Duygu Akgün,1,Oturum açılmıyor ağ bağlantısı yok diyor.
Neo Neko,2,PLEASE! MAKE MORE SHOULDER LENGTH HAIR! THEY AREN’T MANY OPTIONS!
aysethepro,1,The outfits are always same👎😼👎😼👎
SaLLyMoRGaN,4,Çok iyi uygulama ama bıyık ve sakal da gelmeli bence
çalındııııı,4,Gayet normıl
BabySisterLocation,5,Dehşetin dehşeti
şeymagül,4,Saç aksesuarları lütfen artsın. Eskilerde eklensin. Tesettür olarak kullanıyoruz
Atsız'lar,4,Yüze ben konulmuyor mu
✌🏻🎶😎,3,Yeni saç modelleri gelmeli birçok saç stili eksik
Yaaaaarnnnn,1,Ya allah aşkına artık yeni kıyafetler getirin hep aynı
BTS CANDIR GERİSİ HEYECANDIR,5,Bu uygulama sadece Snapchat de kendini ifade etmek için kullanılır.
oozmen-61,4,Türkçe yapın şunu
nejla❤️,3,Ücretli mi???
AncientYogi,2,Erkek avatarlara aksesuar olarak küpe gelmeli
hana melodi,1,eski yüzler ve kıyafetler gelsin eskiden bitmojiye bayılıyordum şimdi sevmiyorum
doga12345,5,saçlar geliştirilsin gelsin
Hd Simsek,5,Piercing de gelsin
çinliler,5,Ooo güzel yazanın kendisi kötü 🇨🇳 Çinli kız yasa erkek 👨‍🎨
Esma 🔥,5,Bugün Doğum günüm 🎁🎁🎁
flsşwş,3,eski türbanlılar için olan şeyler kalkmış geri dönsün
webdico,1,Iphone 8plus kullanıyorum malesef ekranımda yapıştır öğesi çıkmıyor istediğim resim üzerine yapıştıramıyorum..yardım lütfen
Yarennomoloj,4,Ayn
kü---,1,Bildirimleri kapatıyorum yine de bildirim geliyor
Harika ötesi süper,5,Bence güzel kendinize benzer veya hayalinize göre ya da isteğinize bağlı olaraktan bitmojiler(karakter) ler tapıyorsunuz kendinize bunuda snapchat da kullanabiliyorsunuz bence güzel indirmeye değer..
Fizikten kalan mazlum,2,Eskiden olan ağızlar şuan yok
😊🌙,3,Keşke diş teli de olsa daha hoş olur
Çrz890,2,Lütfen eski kıyafetleri geri getirin
slve08,5,Dis telleri eklenmesi lazım
rumeysasozer,2,please get back old bitmoji. that new one is really bad i dont like it.
dilaraaxxo,2,Kızlar için saç örgüsü gelsin
meryem ozcan,5,Neden inmedi
rgjbfh,5,Yeni kıyafetler gelsin artık
Sinirli babe,4,"Kıyafet parçaları birbirleriyle kombinlenebilmeli. Örneğin bir kıyafetin üstünü giyerken diğer bir kıyafetin altını giyebilmeliyiz.
Kıyafet seçeneğini ARTTIRIN!"
ajdjdjska,1,Bir önceki avatarlar gelsin. Bunlar çok çirkin
sjsnsg,5,Bitstrips’i niye kapadınız la ayıp deyilmi
ANOYER 2000,2,Lan ne biçim değişmiş BOKA DÖNMÜŞ
TEK ÇOCUK,1,Çok iyi ama 1 yıldız hemen götleri kalkmasın 😂😂
eren boztepe,3,Bitmoji klavyesinde Türkçe karakter olmadığı için aradığım emojiyi bulamıyorum. Düzeltilmesi lazım.
kaldlc,1,Niye indirilmiyor kardeşim yani bıktım usandım bitmoji oluşturmak istiyorum!!!!????¡¡!¡?!¿¿?¿
Hacı Emin Aktaş,4,Snapchat için güzel ama facebook ve instagrama olasada güzel olurdu 👍🏻
KÜPELİ JOJUK,1,Neden küpe yok ya ben küpe takmak istiyorum!!!!!
Dicle DOGAN,5,"Harika bir uygulama bence, başarılı"
Kid159,4,It’s a really good app but I have the latest version and yet I don’t have any new hairstyles that my friends have or the hair treatment thing. Can you please fix this?
nuna<3,5,You should have the option to make the mouth/lips smaller or have more styles
Murat0271,5,İnsanın tarzını şeklini tam olarak yansıtan çok hoş bir emoji
Kapıdeliği,4,Kepçe kulak ekleyin
ponçik kullanıcı,3,Kıyafetler seçeneği az
max freddy,5,Bitmoji çok güzel oluyor.ve Snapchat ‘e de bağalayabiliyorsun👍👍👍👍👍👍❤️
Kajxksxk,4,Kopyala yapıştır olayı berbat
Pebbleshive,1,Bitstrip was better than this. This one is really limited.
skrlcy,3,"Dear, bitmoji, please add more hairstyles or else ı am deleting. 
Sincerely, a customer."
Atinidudukleyenkovboy,1,No Turkish keyboard
feyza a.,5,Yeni en kısa saçlar pek güzel olmamış
Panda pembiş,5,👧🏼👧🏼👧🏼👧🏼👧🏼👧🏼
Kötügüncellemeberbat,1,Benim seçtiğim karakter dışında herşey oluyor. Berbat oldu bitmoloji.
Busee ✌️,1,HATA VERİYOR HESBAIMA GİREMİYORUM ŞUNA BİR ÇÖZÜM BULUN!!!!
yejmur,5,Snapchat için indiriyoruz
SoysalMs murat,3,Yenş saç stilleri ne zaman gelicek? Özellikle erkekte yanları kısa model yok! Biraz yenilik lütfen.
hayatçokzor,5,yanak için ben gelsin ve dudak üstü için
hyjrtfh,3,Kalın kaş yok?
Ilyasmahir,5,Herkez beyendi sanalım bende beyenerim inşalah
yeni şeyler,5,Yeni saçlar gelsin
tanmb,2,Küçük ağız opsiyonları geri gelsin! Kendime benzetemiyorum eskiden vardı
Canon0,3,"Yeni sürüm güzel olmuş, selfi olması da güzel ama keşke çektiğimiz selfiyle uygun avatarı kendi oluştursaydı."
Kraliceay,5,Snapchat'ın çıkarma uygulaması. Aynı zaman da klavye. Snap'lerini süslemek isteyenler için son derece güzel bir uygulama. Tavsiye ederim👍🏻
coolcoollime,4,"I and my friends love using Bitmoji,but there are not enough outfits. Please add more. Few collaborations with some brand like H&M,Zara would be very nice."
Sryoztr,1,"Eski uygulamayı istiyorum , çok çirkin oldummm😥😥Eski uygulamada çok doğaldı, şimdi berbat oldu"
dygdnz,2,Eski avatarı geri yüklesem ben 😭😭
Frepsit Brown,3,👍👍
Birgüll,3,Güzel kıyafetler gelsin artık hep aynı 😒
burakxaltnr,5,Yeni bitmoji tarzına bayıldım 😍
ilaydaışık54646,4,Avatar ımı değiştiremiyorum🙄
Koyuncugizem,1,İnstegram story de kullanılamıya yapıştırmıyor
Taha çağrı,1,Why did you stop bitstips cartoons? It was very funny...
woow girls,5,Güzel de saçlar bizim oynuyor bir tane saçı çok seviyorum oda sadece benimsedim gibi değil.....?
rabiabahadir1,5,Bence Harika bir uygulama
Borussobora,5,😘
Ogbasaran,1,Klavye’den Tam Erişim’e izin verdiğimizde telefonumuzda kayıtlı olan Kredi Kartı vs. gibi bilgilerini karşı tarafa paylaşmayı kabul ediyoruz. Ben derhal siliyorum.
elöf❣️,5,Kullandığım 2-3 yıl oluyor heralde
tunaaaaaaaaaaa,2,Eski saçlar geri gelsin
Joke1772,1,BATMAN KİYAFETİNİ YANLİSİKLA SİLDİM SİMDİ YOK BULAMİYORUM CİLDİRTMAYİN İNSANİ !!!!!
köööötüü,5,Sadece snepcehat için değil wapsaptada kulanabiliyorsunuz veya mesajlardanda
bhadbhabiebio,5,Needs new hyperbeast shoes and guccı clothing
VaHFuTa,1,Bazı çıkartmalar yok ve karşımdaki kişiyle ortak attığım çıkartmalar da yok. Sildim tekrar yükledim hala devam esiyo. Önceden vardı.
bright_blog,4,"Kışlık kıyafetler,kazaklar gelmeli. Birde saç aksesuarları arttırılsa harika olurdu.Ve gözlüklerin renkleri değiştirilebilmeli😞"
bircisimyaklasiyor,2,Ne saç ne de sakal stili var. Çok az bunlar arttırmalısınız. Haricinde sadece kullanabildiğimiz ve güzel bi uygulama olduğu için 2 yıldız verdim
Troian Ashley,4,Bitmoji de neden uzun sac yok hepsi kisa
ArzuRemzi,5,Tavsiye ediyorum herkese 👏🏻👏🏻👏🏻
kıymalı-nutella,1,Bitstrips geri gelsin
Zotterenköy,3,Çok az kıyafet var
ddrnrn,4,Saç şekilleri artsın
mitap34,1,Hareketli olarak nasıl msj atabiliyoruz bi türlü yapamadım ???
perihan ve anneanne,5,Anneanne
kce89,1,Güncellemeden sonra açılmıyor
ahlaverda,5,Eski kıyafetler gelsin superman kıyafetleri özellikleee 😞
aşwğwğeşelşdkdşdşslskdpdld,1,Önceden saçın düz mü dalgalı mı olabileceğini seçebiliyorduk o geri gelsin
Ananinamihepsikullaniliuo,3,"Uygulama eğlenceli ancak bıyık seçeneklerinin az ve kötü olmasi uygulamayi kullanmama engel oldu. Her şey iyi giderken, bitmojimin bana benzeyeceğimi düşünürken bıyık kısmına geldiğimde hayal kırıklığına uğradım. Arkadasim da sakal konusunda muzdarip. İyi gunler"
nnnnnnnjjsj,5,Heryerde her klavyede kullanabilelim🙏🏻🙏🏻
brc_ozb07,5,Dehşet!
GreenIand,2,ADD DARK PURPLE ALREADY
küçükcadı9,4,Eski kıyafetler çok daha güzeldi lütfen kıyafetleri yaparken dikkat edin!!
Esqualer,5,There should be accessories like earring and something like that.
gullccc,5,inmiyor
Zaman Leydisi,1,Saç rengi skalası çok dar ve kıyafet seçenekleri az ve saçma
Rabia eylül mira,1,1000 sms hakkım vardı hiç kullanılmamış denemek için 2 emoji attım arkadaşıma hemen mesaj geldi Türkcell den faturanıza fazla ücret yansımaması için ek sms kotası istermisiniz . Böyle iş mi olur yaa . 1 emoji kaç sms ? iPhone 7 Plus kullanıyorum . Bu konuda bilgi edinmek istiyorum
Buğram,4,bitmojinizin klavyede gözükmemesi gayet normal çünkü bitmoji snapchat için...
Çok iyide değil kötüde,4,Güzel yani eh
Ycelenk,3,Kıyafetler olarak kaptan ve pilot üniforması gelmesi çok güzel olur. Umarım en yakın zamanda gelir.
HhaAzar,5,Arkaya çevrilmiş başka renkte şapkalar gelsin
Sorunluindirmee,2,Facebook ile neden giriş yapamıyoruz?
GanGa Layh aT,5,Sa nabıyonuz neden böle dedim söylememi istiyorsunuz dimi ozaman 100. Like soylicem
odinin torunu,5,I wish there was a metalhead look in clothes :) Or at least a gothic or full-black dress creation.
kflfşsn,5,Eski kıyafetler geri gelsinnnn
kit-cat-lol,3,"Yuz piercingleri gelmeli, renk ve model secenekleri olmali!!!"
oykutax,2,yanlışlıkla ilk başta indirdiğimde gözünü çok büyük yapmışım sonrasında değiştiremedim sildim geri yükledim yine de olmuyor lütfen buna bir çözüm bulsunlar
Esraaslan,4,Sac renkleri ekleyin gri sac da olsun
ekmektanrısı,5,Diş teli yok..!
Nermin yılmaz,2,Bitmıji uygulamasını indirdim ama açılmıyor.Lütfen yardımcı olun.
Kshaoaisjdlaşağ,1,Güncelledikten sonra logosu karardı üstüne tıklayınca açılmıyo silip tekrar yüklemek istedim sil butonuna tıklıyorum o da olmuyor tekrar güncelleme gelsin
Anestezistdilvin,5,👍
Sali Lila,5,I change the avatar when i want.I change her/him like who Im writing to and he/she loves that ;)
Mustafadogan62,1,Teşekürler
senndldbn,5,.
Fatmagul kapici bosaniyo,4,I really believe that there should be a beauty mark option because it effects the appearance of the Bitmoji. And it is essential on making it look like the owner. Please make it happen in an update. Beauty marks are important!!!!
dcbmehcmahcachmwchmawgmach,1,snapchatime bağlanamıyorum 😡
Mrhaba ben fırat,2,Hhjjjjjjjjjj
Zeyatu2,4,Do A Part Named Heroes And Add All Heroes There
Hamdi Koca,1,Hata
mscern,1,Hata veriyo
ilknur1,1,Açılmıyor çıldırıcam ağ bağlantısı felan diyor ne alaka
Blackops1363,5,İyi
av0kadopekmezi,1,Bağlantı sorunları diye hata verip açılmıyor
KarınDeşenJACK,4,Bitmoji oluşturup sonra uygulamayı silsek bitmoji de gidiyor mu
Oruldukvie,3,ÇOK HEYCANLIYIM YÜKLENMEK ÜZERE ELEYÇFJHGMVSMSL
*Derbur*,5,Bence kıyafetlere daha çok çeşit verin. Çok klasik kızların kıyafetler erkek gibi duruyo değiştirin pls 🤓
SOP4R,3,Aga dünyada tek cinsiyet var neyin peşindesin sen
Nilsu Özlü,5,Süper ötesi
Binichbin,1,Uygulama açılmıyor
Dkkdkdekkdeld,3,Kıyafetler iğrenç olmuş
Avrilaçin,1,adam akıllı kıyafetler gelsin
Sksldnöd,1,Eski kıyafetler daha güzeldi neden çıkardınız yeni kıyafette gelmiyor
Bluessmolk,5,Ben beğendiö
Cem Önay,1,sadece gerizekalı kullanır
SevginurTerzi,4,you need to add more hijab stuff i think
Kübranestor,1,Artık tesettür bakımından birkaç şey yapılsın 🙏🏻
Ah sinavlar ah,1,Adamlar klavye ye girerek tüm banka şifrelerinizi ve özel bilgilerinizi toplamaya çalışıyor
İsra Nas km.123,5,Herşey normal Türkiyelinin siz anlamasınız
üper süperci,5,Ya bayıldım böyle bişi yok 😝😝
Candy_yasu,5,Herşey güzel ancak artık futbol takım kıyafetleri de gelsin 🤓
Coca-cola vs Pepsi,2,Atakuleden at beni
Djldnxjsksm,1,"Have to be more choise in hijab. 
This could have been fabulous."
ohlalabeatrice,3,Saç boyu değiştirme özelliği yok mu bende hep kısa saçlar çıkıyor 🤔
Beeyzayn,3,İyi güzel ama saç rengi değiştirme seçeneği önceden vardı şimdi yok!?
Kdndhskdjje,1,Arkadaşlar şu an yükleyim mi yoksa yüklemeyim mi? Acilen haber verin
Serhat333333,3,Süper kahramanlar bölümüne joker suicide squad gelsin
foreverstewforever,4,But I think you should add piercings and braces 👍🏻
Mucize Uğur böceği,5,10 numara 5 yıldız
Bthnklync,1,4s'e olmuyor. Bitmoji'yi kopyalayıp yapıştırdığın zaman ekranın yarısından fazlasını seçtiğimiz emoji kaplıyo.
stklal-1,5,Using this app is really fun. I just want you guys to put more choices for hijab ☺️
Qedi Joplayan,4,İndiriyorum bakalım
Michy Germanotta Minaj,5,:)
ozanmn,2,Giden internetimin hesabını soracağım
Beşiktaşlı😎😎,5,👍🏻👍🏻
Zsg👌🏼,5,I love this app it is awesome but i wish we could mix and match our clothes 👍🏼
Pınar T.,3,Snapchat'a bağlanıyo onda sorun yok ama normalde klavyede de çıkıyo(whatsapp'da konuşurken falan)yanlışlıkla ona girince klavyeye dönmesi zor oluyo😕
Mrvgl22,2,Telefonumda yüklü olan bitmoji uygulamasını sildikten sonra tekrar yüklemek istediğimde indiremedim. Herhangi bir hata/uyarı da vermiyor. Uygulamanın sürümüyle alaklı bir durum mudur? App store la mı?
kubraciger,1,Kendi kendine hata verip kapanıyor
Lara demonce,4,Ben çok güzel yarattım ve gayet güzel eşleşiyor
Butterflylake,3,Needed more color alternatives for face tone
ARTIK DUZELTİLSİN,1,Snapchat e baglanmiyor artik lutfen duzeltilsin
Argonlazer,2,Snapla bimojiyi olusturamıyorum sureklı hata verıyordu bu nasıl bişey yaaaa
Meryy0561,1,Sürekli hata veriyor snaple bağlanmıyor
Mertcankrs01,1,Lanet olsun bitmoji eşimi benzerimi yapamıyo KöTü..
Aysen.u.r,1,Snapchat ile bağlamaya çalışıyorum ama sürekli bir sorun oluştu diyor bitmoji kaynaklı mı yoksa snap kaynaklı mı anlamadım ama biri yardımcı olabilir mi?
Sinirlizey,1,Snapchatte sorun verip duruyor bi turlu baglanmiyor sinirleniyorum hem de cok!
asarikaya,1,Bıyık modelleri çok köyü be eksik. Kamber abi bıyığı bile yok.
Küba8ekizi,1,Bitmoji klavyesine geçerken sikiliyor ve İngilizce klavye oluyo.bitmojileri göstermiyor.telefonu kırmamak için kendimi zor tutuyorum.eğer olurda telefonu kırarsam bir avukat olarak dava açarım.o kadar para kazanıyorsunuz amk.doğru düzgün yazılımcı tutun.
Neden acabaa,1,Bağlantı hatası devam ediyor düzeltilmesi gerekmekte
H1pN0Z,4,????????
Bitmojisiz Snapchat,2,Snapchat'e bağlanmıyor. Lütfen düzeltilsin.
Enfesss,5,Süper
Efe urutuk,5,Çok gereksiz işsiz programı ama güzel tavsiye ederim
Sxnacj,2,"Tesettürlüler için de bir şeyler eklenmeliydi -,-"
Baharnurcbn,1,Bitsitrips gayet iyi ve benzeri olamayan bir uygulamaydı.Neden kaldirildi?Bu cok sınırlı.
Mert Gülcü,1,"Aga benim imajım tamamen burma bıyıktan ama oda yok. Ayıptır, günahtır burma bıyık ekleyin... gamzede yok"
Dilandlnglct,1,"More clothes,more hair styles!Because there are so ugly in app😒 i think you must change your  styler."
Shewldr,1,Bağlantı kurmuyor snapchat ile çok sinir oldum hemen düzeltilsin indiremiyorum silince de
İşte bitmoji,5,Valla garika snapchat e bağlanıyor süper👌🏼
Kıvırckk,1,Kopyalandı yapıştır diyorum olmuyor normal snapada yapıştırınca küçülmüyor 😡😡kötüü
cemy41,5,5
Gztp,5,Ombre saç artık gelmeli
ahmetsav,1,Düzeltin snapchatle eşleşmiyor !!!!
Ahayser,4,Arkadaşlar bende yükledim ama emin olamadım tam erişime izin verdiğimiz de bütün bilgileriniz gidebilir dediği için uygulamayı sildim
databaş,4,eğlenceli ve güzel
ArdaCskunss,1,"Keçi sakalı yok, saç içinde az seçenek var"
Sleydra,3,Bence my story bile atarken yanina istedigin arkadasinin bitemoji ni koyabilelim sadece sohbette olmasin
Meczubiyet💎,1,Uzun saç yok tesettür için pek bişey yok peçe çarşaf falan olsun çok saçma bir uygulama !!!!
Zkdkflgldkdkdk,5,O kadar kötü değil  pozitif bakın biraz kendiniz yapabiliyorsunuz hata olduğu için öyledir bu arada yazefe.1152 beni eklemeyi unutmayın
leda84,1,Bi ara snapchat ve bitmojiyi silmistim tekrar yukledigimde eslesmiyorlar snapchate bitmoji avatarimi koyamiyorum lutfen duzeltilsin yada nasil yapabilcegimi soyleyin
aeginax,1,Bu şerefsiz uygulamanın profösörü olan ahmaklar ne yapmak istiyor
Hayırsever kıqısınız,5,Snapde kullanamıyorum ayarlardan yaptım ama bitmoji snapchat ile bağlantı kurmuyo bu yüzden snaplerin üzerine çıkartma olarak koyamıyorum
Jeff6155,2,Keçi sakalı yok
Y_ozgun,4,Yüz detaylarına gamze eklenmeli
Kötü!!!,1,Snapcete girmiyor ve girmiyo alakası yok olmuyo çok kötü
Nightfolf,4,Daha detaylı giydirme seçenekleri ve yeni kıyafetler gelmeli
gkeyllkmrc,3,"şapka ve saç modeli çesidini arttırıp kolye,PİERCİNG,küpe gibi aksesuarlar eklerseniz güzel olur"
Damoshhh,5,Bence snapchat kullanıcıları için çok zevkli üstüne bitmojisi olan arkadaşlarınla da beraber bitmojiler var onlar da çok güzel. Kısacası kullanmayı seviyorum 😝
Yağmurkaya,1,Uygulamayı indiremiyorum lütfen ıPhone 6 plus
Zeyna2003,5,Ciddi bir anda konuşurken ortamı yumuşatıyor ve sevgiyi arttırıyor çok beğendim
N.fkjdkdkx,5,İnmiyor
Çağlaynr,4,Benim saçım ombreli en azından yarısı kahve yarısı sarı bi renk seçeneği olsun
Mannersmakethman,1,Ne kadar denesem de bir tüelü inmiyor uygulama😞
Zozozooz,3,BİR TÜRLÜ BANA BENZEMİYORRRRRR!!!1!1!1!1!11
Eymennnnnnnn,1,Arkadaşlar indirdikten sonra snapchat a bağlan özelliği gelmiyor . Ki kullanıyorum snapchat ı . Olmuyor yardımcı olur musunuz
Kapalı bayan nasıl yapılıyor,2,Kapalı bayan nasıl yapılıyor yardım edermisiniz
Gilaxteney1864,1,"İnmiyor 
Ne yapsam 
inmiyor
Keşke inse ama
İnmiyor
İndirmem için bir şeyler yapın lakin 
İnmiyor"
İgigig,1,Güncelleme yapamıyorum hata veriyor 😡
Solmazsolo,4,iMessage de nasıl kullanabiliriz acaba?
Rümülüs,4,Çook tatlı bayılıyorum bu uygulamaya ama kapalı karakterleri giydirmek için birkaç giysi alternatifi daha olmalı🙁
Melistokgozlu,1,Yüklenirken duruyor tekrar dene tuşuna basmama rağmen devamlı aynı hatayı veriyor bir an önce düzeltilmeli
eeeeefffffnnnnnn,1,Uygulama inmiyor bi düzeltir misiniz uzun zamandır böyle.!
Alksjsnsjs,1,Giriş yaparken snapchat ile bağlan çıkmıyor 😞😞😞
crnyts,1,bitmoji uygulamasını indiremiyorum durdurtuyor veya tekrar indir diyor ama inmiyor bi haftadır böyle ne zaman düzelteceksiniz şu hatayı? iphone 5s
M@ydin,4,Cok eglenceli..harikasss
Özgrkplmb,1,Neden ben hala snapchat e bağlanamıyorum 😡😭
Talhabaslik,4,Resimlerin arkası beyaz gözüküyor
İremcimm,5,Harika
Ezgi Polat,5,Çok güzel bir uygulama tavsiye ederim
SekooBozan,4,Takım formaları gelmeli
Ayşe216718,2,Hijab Nasıl yapılıyor seçenek çıkmadı bir türlü
incih,4,Kiyafetler ve sac cesitleri yeterli degil onun disinda guzel bir aplikasyon
Dudule05,3,It is so nice but it can be more beautiful for example there is no good hairs and no good clothes...
Popcorn patlaması,5,"Çok güzel bir uygulama işime yaradı,bence denemelisiniz."
Punalan,4,Emıjinin karakterini daha çok ayarlayabilme seçeneği olsa!!
Ayşe Özdemir,4,Bitmojide dil kısmında türkçede yer alıyor.İndirdim ama türkçe değil çeviremiyorum.Yardımcı olurmusunuz
Thepsc,5,Süper
Ezgicc,5,Çok güzel bir uygulama ❤️
Satan_is_a_lawyer,5,Tamam yorum yazarız yazmasına fakat lanet olası bi zorluğu var hadi gidelim osman XD
Kuklitakukla,3,Bitstripsten sonra eksik geliyor!
Bluewomenandcoffee,1,"Uygulama modaya pek ayak uyduramıyor. Artık insanların saç renkleri( mor, yeşil, pembe vb.), saç modelleri( ombre, twist, balyaj) farklı olabiliyorken uygulama içinde yok. Bu konu bir an önce dikkate alınsa ve düzeltilse daha iyi olabilir. Şimdiden teşekkürler."
Kdrsak,5,Elinize emeğinize sağlık
Nisan Deniz,5,Öyle güzel ki hayatımda geçirdiğim en güzel oyun diyebilirim her gün oynayacağım
Hhkkhojghhbjn,1,Çalışmıyor silinemiyorda bekliyor diyor yardımcı olurmusunuz
Er-se,5,Kalp kalp kalp büssürü kalp
Nb112,5,Çok eğlenceli 😁
mustafaklas,5,"Biraz daha geliştirilirse daha başarılı olabilir.
Eğlendim.."
Merviss,5,Aynı ben 😄😋
eylülmira,5,Çok güzel bir uygulama
Oker72,5,Eğlenceli
Ruşi,4,Başarılı olmuş🎯
lindadilek,5,O derece 😂
Kdkslfiaçcjalfğdmclfislfşfmsl,4,Definitely there should be a part to make your own clothes
Gozdenazli12,1,"Telefonda bekliyor olarak kaldı, silinmiyor. Yüklenmiyorda"
