negative,sürekli bağlanamama gönderim yapamama ve gönderi alamama sorunu yaşanıyor.
negative,Hiçbir ismi kabul etmiyor
negative,"I don’t even use snapchat, I just tried to for 30 seconds when its early. After that snapchat boomed and made everything worse!
We lost Instagram, Facebook and even Whatsapp got worse after that!
You are not making the world a better place! Because of your unusable social media tools, everyone gonna need to hire some specialized social media workers to send text messages in the future! 
Please stop! Please!"
negative,Merhaba ben hikayemize yüklediğim videoyu ve cıktıgımda tekrar girdiğimde yüklenmemiş gözüküyor bunun nedenini öğrene bilirmiyim hepte ilternet yitiyor tekrar yüklediğimde
negative,Giriş yapmaya çalıştım hata veriyor.Yeni hesap açtım kendi kendini attı yine hata verdi hiçbir şekilde giremiyorum. Yardımcı olabilecek?
negative,Yeni sürümden sonra çok kasmaya başladı
negative,Kaydettiklerime bakamıyorum
negative,Çok güzel berbat olmuş bidaha yapmıyın bakiyim
negative,Uygulamadan atıyor!
negative,Uygulamayı açtığımda atıyor.
positive,Burun ucu hızmalı ve pembe çiçekli efekti sabitleyin lütfen istedigimizde ulaşamamak ne kadar can sıkıcı :(
neutral,kendi kendine uygulamadan çıkıyor çözüm
negative,Giris yapılamıyor. Bağlantınızı kontrol edip tekrar deneyin felan diyor. Bitirdiniz Lan uygulamayı. 👏👏
neutral,Şarjı çok harcıyor düzeltilemez mi ?
negative,Uygulamayı kaç saattir indirmiyor iPhone 6 kullanıyorum kendi internetimi açıyorum iniyor ama otomatik olarak sayfadan atıyor güzelim uygulamayı ne hale getirmişsiniz
negative,İphone 7 plus kullanıcısıyım. Son zamanlarda bu telefonla snapchat üzerinden video çekmeye başladığımda telefonumun yeniden başlama moduna geçtiğini fark ettim. Bu durum hakkında bir düzeltilme yapılmalı.
negative,"Sildim yükledim açmıyor, kendi otomatik atıyor"
negative,It crashes very often with camera effects and sometimes it doesnt even record audio
negative,Yeni güncellemeyle bildirim gelmemeye başladı ne yapmalıyım
negative,Uygulamayi indirdigim andan giriş yapilmiyo surekli hata veriyor
positive,Telefon yanar gibi oluyo sarj hemen bitiyo
positive,Köpek efektini eskisi gibi yapar mısınız lütfennnnn
positive,allahın aşkına eski haline getirin şu snapchati
negative,Artık bu şarj sorunu çözülmeli 2 dakikada şarjımı 15-20 götürüyor ve telefon aşırı ısınıyor
positive,Hergün
negative,"kamera erişimine izin verdikten sonra kapanıyor, daha da açılmıyor."
negative,Şarj çok hızlı bitiyor o yüzden kullanılmıyor bi çözümm
negative,Çok ciddi bir lens sıkıntısı var. Lensler zaten sürekli kasıyor ve kendi kendine silindiği zamanlar oluyor. Bunun için bir güncelleme gelsin. (iPhone6)
negative,Snap atarken telefon kasıyor iphone 6
negative,Uygulamaya girmeden atıyor
negative,I phone 6 Plusla Uygulamaya girdiğim anda daha açılmadan atıyor. Telefonu kapatıp açtım uygulamayı silip tekrar yükledim. Güncellemesi de yok. Acil düzeltilmeli
negative,Yeni surumlerin hic biri snapchatimde yuklenmiyor ve uygulamayi eski surumde kullanmaya devam ediyorum
negative,Uygulamadan atıyor sürekli
negative,naptınız hızlı seçe allah aşkına geri getirin
negative,Charge your enemy with the charger immediately if you're running out of trouble.
negative,İpad dem giremiyorum atıyor bi yardımcı olun
negative,Uygulama kendi kendini kapatıyor
negative,Kart bilgilerimi almadan indirilmiyor
negative,"Konumu açınca sanki mobilden arama yapıyormuş gibi oluyor 
Mobilden gelen çağrılar duyulmuyor
Mesajlar ve diğer uygulamalardan gelen hiçbir bildirim duyulmuyor"
positive,"Uygulamaya girilmiyor, açılmadan atıyor programdan..
Ve güncelleme olmuyor"
negative,Geçen sene bugün diye çıkmıyor anılarda lütfen seri yardım
negative,UYGULAMA AÇILMIYOR ACİL DESTEK LÜTFEN YA
negative,It is not easily uninstalled like other apps on the iphone. Do not install this app if you are not an existing user
negative,Tam deeceyle iğrenç🤢
negative,Şarj emici
negative,Programı açıyorum otomatik atıyor giremiyorum acil yardım
negative,İndiremiyorummmm
negative,Video da ses çıkmıyor !!!!!
negative,it is signing out out of my control when i closed the app WTF?
neutral,"Telefon numaram değişti, şifremi falan bilsemde eski telefonuma giriş için doğrulama kodu gönderiyor. snapchatte giremiyorum.Gitti onca anı"
neutral,iPhone XR’da selfie kamerasının kalitesi çok düşüyor ve camera yakınlaşmış gibi gözüküyor lütfen bir an önce güncelleyin.
negative,Bence snapchatta paylastıgımız gonderıler 24 saatte kaybolmasın bıde mesjlar
neutral,Uygulama sürekli atıyor ve kapanıyor güncellememe rağmen yeni filtreler olmuyor lütfen derhal müdahale edin!!
negative,Bu yenı cıkan hikaye izleme bölümünde yabancıların hikayesi senın için yazan kısım kapanıyormu görmek istemıyorumda bilen varsa yardıme tsin yoksa bölüm kapansın cok gereksiz
negative,Cihazımı sıfırladım snapchat silindi ama geri yüklediğimde içindeki fotoğraf ve videoların hepsi silinmiş lütfen yardım edin
negative,%100 şarjla uygulamaya girip 5 dakikada %60la çıkıyorum acil bir çözüm lazım
negative,Programa giriş yapamıyorum donup kalıyor kapanıyor fotoğraflar açılmıyor
negative,Klavye kısmı çok değişmiş çok karışık sohbette küçük video gönderilmiyo aynı whatsapp’a benzemiş eski sürüm geri gelsin
neutral,4 renkli flitreniz çok güzeldi isteğimi seçip resim çekiyordum onu kalıcı flitre yapsanız süper olur
negative,Video çekerken çok kasıyo!!
positive,Bu uygulama efekt severler için Harika ama düzeltilmesi gereken bir kaç sorun var onun dışında hiç sorun yaşamadan mükemmel efekt sunumuyla fotoğraflar çekebiliyorum 😁
negative,Uygulamaya her açmak istediğimde çıkış yapmadığım halde şifre istiyor
positive,"Uygulamanın ilk zamanları çok guzeldi. Bambaşka bir sosyal ağdı. Snap atmak falan efsane ötesiydi. Sonra Instagram geldi her şeyi çaldı. Artık kullanmıyorum, kullanan da kalmadı pek. O günleri özlüyorum."
negative,Anılarda aşağıya inince uygulama kapanıyor teli güncelledim kapatıp açtım uygulamayı sildim bir daha yükledimdüzelmedi
positive,Hiç bir sıkıntısını görmedim daha
negative,Bana özel kısmına yüklediğim fotoğraflarım kayboldu nasıl geri getirecem yaaa
negative,Telefonum donuyor.
positive,Fotoğrafı çekiyorum siyah ekrana dönüyor arkadaslarıma da öyle gidiyor düzeltin lütfen
negative,Snappable ne demek ne işe yarar
negative,Fotoğraf çektiğim zaman görüntüyü hemen siyah ekrana çeviriyor ön veya arka kamera farketmeden sadece video snap atabiliyorum çözümü yokmu
negative,Uygulama böyle berbat edilir
negative,Şarjj yiyo çok fena iki yıldızında sörf filtreleri için verdim onun dışında şarja bir çözüm bulunması gerekiyor
negative,Kullanıcı adı değiştirilebilir olmalı cadılar bayramı konsepti hemen gitti ve telefonun şarjını  hemen bitiriyor bunlar düzeltilmeli
negative,Ön kameradan da arka kameradan da fotoğraf çekince ekranı siyaha döndürüyor ve siyah ekran snapi gidiyor acil düzeltilsin
negative,Kamera açılıyor fakat fotoğrafı çektikten sonra gidiyor fotoğrafı göremiyorum (iphone 5)
negative,Şarj hemen bitiyor ve  telefonum çok çabuk ısınıyor yetkili biri buna el atabilir mi lütfen !! Gereğini Arz ederim..
negative,ya 80 iken giriyorum uygulamaya anında 30 oluyor (iphone6) ??!!!
negative,FOTOĞRAF ÇEKMEYE ÇALIŞTIĞIMDA KAMERANIN OLAN ŞEYİ DEĞİL DE BİRDEN SİYAHLIĞI ÇEKME GİBİ BİR SORUNU VAR LÜTFEN BANA ULAŞIN
negative,"Snapchat denilen uygulama fotoğraflar ve videolar ile tanıdıklarımıza snapler atmak. Telefon markam iphone 5 ondan mı kaynaklıdır yoksa genel bir sorun mudur bilmiyorum ama ön kameramdan da arka kameramdan da fotoğraf çekeceğim zaman siyah ekran çekiyor (videoda böyle bir şey olmuyor sadece resimde) ve snapchat böylelikle kendi amacından sapmış oluyor bu kadar güzel bir uygulamayken kullanıcılardan bu kadar az yıldız almaya başlamanızın nedenini bence bir düşünün böyle giderseniz batarsınız, insanların sorunlarına çözüm bulmaya başlamanızı tavsiye ediyorum. Saygılar.."
negative,UPDATE !!
positive,Bence çok güzel internetsiz de kullanabiliyorum . Kimseyi dinlemeyin çok güzel
neutral,Draw it face to face oyunu telefonum tarafından açılmıyor sebebi nedir?
negative,"Tüm etkinlikler, bayramlar vs için kutlamalar yapılırken 29 Ekim Cumhuriyet Bayramı için yapılan hiçbir şey göremedim. Görene kadar da puanım 1"
negative,Şarjı hemen bitiriyor çok kötü
negative,Arka kamerası çok geç odaklanıyor
negative,ŞARJ YİYOR!
neutral,şarjı çok hızlı bitiriyor yakında telefonun bataryası çökecek
neutral,İphone x te gelen snapleri açınca tam ekran olmuyor ekranın yarısı siyah gözüküyor
negative,"Çok fazla şarj gidiyor, telefon aşırı ısınıyor."
positive,Şarj konusunda sıkıntı çekiyorum interneti çok götürüyor
negative,iPhone Xsmax cihazlarda çözünürlükte kamera ve puntolarda çok vasat durumda
negative,Ne zaman düzeltmeyi planlıyodunuz acaba am* kaç güncelleme geldi bunun üstüne hangi kum saati gerçek hangisi sahte anlıyamıyosun yapacanız uygulamanın...
negative,Berbat yaa bide telefondanda silinmiyor lanet uygulama 😡 telefonu bozdu saolsun her zamanki gibi
positive,Köpek eski hale gelsin gözler çok köyü oluyor ya 😪
negative,Telefonum Iphone olmasına rağmen son efektte işi bozdun Snapchat şu donmaya son ver ve internet çok gidiyor telefonun şarjı ile birlikte telefonda çok ısınıyor lütfen bi çözüm bul yoksa işin sonu kaldırmak olacak.🤷🏻‍♀️
negative,Uygulamaya girdiğimde kendini güncellediği anda uygulamadan atıyor
negative,Bana özel kısmındaki resimlerimin hiç biri açılmıyor
negative,İyi değil bi tek story atma özelliği olduğu İçin 1 yıldız veriyorum
positive,biriyle mesajlaşırken veya fotoğraf gönderirken aşırı derecede kasıyor yazamıyorum uygulamadan atıyor telefonum 7plus bunun hakkında bir güncelleme gelirse veya bu hata düzeltilirse sevinirim
positive,Uzun zamandır kullanmıyordum tekrar indirdim herkes kötü yorum yazmış bakıcaz artık
neutral,bu kadar fazla şarj yemese süper uygulama ama çok şarj yiyor snapchate girmeye korkuyorum artık
positive,Teşekkür ederim.. Gerçekten kendimi ilk kez şanslı hissetmemi sağladınız
negative,Snapi silmek zorunda kaldım geri yükleyip hesabıma girdiğimde ise Eylül ve ekim ayındakini bütün fotoğraf ve videolarım silinmişti neden kaynaklanıyor
negative,Ya mal gibi bi uygulama oldu iyice internet kullanmı mı diyim telefonun ateş topuna dönmesi mi diyim tüm rezalet şeyler birleşmiş
negative,"eskiden şarjı dert ederdik şimdi tüm streakler snap atmamıza rağmen gitmeye başladı, snapchat iyice bozdun."
positive,Kullanıcı adımı değiştiremiyorum bu özellik eklenmeli
negative,Kullanıcı adı degişiklikigi
positive,Lütfen ağzı bükük üzgün efekti geri getirin valla yıldım
negative,Kedi ile olan filtreler geri gelsin
negative,Kullanıcı adı değişimi gelmeli
negative,Twetter ne güzel aynı hesap iki telefonda kullanılıyor ama bu snap iki telde açınca diyetinden çıkış yapıyor saçma sileceğim ve bu yüzden bir yıldız verdim hiç tavsiye etmiyorum kesinlikle indirmeyin
negative,Kullanıcı adı değiştirme özelliği acilen gelmeli buna bir el atarsanız sevinirim
neutral,Giriş yapamıyorum bekletiyor
negative,Snapchate giremiyorum numaramı yazıyorum kendisi değiştiriyo uygulama o yüzden hata verip duruyo içinde fotoğraflarım vardı yardım lütfen 🙏
negative,İğrenç
negative,Çok güzel bi uygulama ama çok şarz indiriyor o yüzden az giriyordum artık sildim uygulamayı 😞☹️
negative,Snapchate önceden facebook ile giriş yapmıştım şu an silip geri yükledim ancak facebook ile giriş yapamıyorum şu an fotoğraflarım gitti lütfen yardım edin
positive,Profil fotoğraf gelsin kesinlikle
positive,Çok süper 👍 tavsiye ederim
negative,Eski hali daha güzeldi olabiliyorsa eski haline gelsin ve telefonu çok ısıtıyor telefonu kılıfsız asla tutamıyorum ve şarjı resmen dönüyor acilen bir çözüm getirilirse çok sevinirim.
negative,Çoğunlukla arka kamerada flash açamıyorum çok donuyo çoğu zaman video çekilmiyo uygulama donduğunda telefonum kendini kapatıyor (iPhone 6)
positive,Snap is love Snap is life!! Sen bir tanisin Snapchat!!
negative,Uyğulama indirilmiyor ❓❓❓
negative,İdare eder
neutral,Bende bitmoji 3d olanlardan sadece 1 tane var yardımcı olun acil pls acil basılı tutuon olmuo noluuuuuur ve yeni snapler gelsiiin pls sölein yapabilen varsa her istediğini yaparım her kim sölerse ama açık net kısaltma olmıcak pls
negative,Snapchat'in yeni sürümü dürüst olmak gerekirse eskisinden daha kötü :( Snapchat artık eğlenceli değil.
neutral,Kullanıcı adı değiştirme özelliği gelse çok güzel olur
negative,sevgilimle(eski) her şeyi içinde barındıran tek application acısı ve tatlısıyla hayatımın 2.5 yılı ve bugün siliyorum ne yazık ki herkese tavsiye edebileceğim güzellikte bir uygulama alın atın anılarınızı bakıp bakıp gidenin arkasından üzülmek için :’)
negative,Bu sürümde snapler yollanılmıyor güncelleme gelmesi lazım
negative,Telefonum aşırı ısınıyor ve sarj ı çok hızlı bitiyor ayrıca snap te çok kasıyor buna bir çözüm bulunmalı.
neutral,kullanıcı adının değişimi özelliğinin gelmesini diliyorum. bir daha ki güncellemede dikkate alınmalı. saygılar.
positive,314 ateşimiz onunla birlikte gitti ...
negative,Aşırı derecede şarj yiyor ve çok ısınıyor. Acil çözüm üretin lütfen
positive,Snapleri açarken ve kalatırkenki ekranın ortasındaki anlık kırmızı dörtgen çok sinir bozuyor
negative,Kısa sürede tlf ısınıp aşşırı şarj yiyor üstelikte efektlerin açılması bi hayli zaman alıyor acil düzeltilmesi gerek!!
negative,Büyük ağız efekti neden gitti
positive,تابعوني استايل اسطنبول azozz9090
positive,Geri sayım özelliği gelsin acil en çok kullandığım özelliklerden bir tanesi lütfen rica ediyorum gelsin
positive,snap atiyorum karsi taraf da snap atiyor ama kum saati gitmiyor ve streaklarimi kaybediyorum lutfen bi cozum bulun
negative,Eski snap fotoğraflarına bakarken uygulama sürekli atıyor bir an önce çözüm
negative,Oyun mu oynuyoruz aq öyle bi şarj harcıyoki kasıyo bide (iPhonex)
neutral,Şarjı hızla bitiriyor ve telefon ısınıyor
negative,Merhaba snaptaki sorun hala devam ediyor sevdiğim bi uygulama olmasına rağmen kullanamıyorum snap Atarken sıkıntı YOk fakat eski resimlere bakarken uygulama atıyor
negative,"Tlfonu çok ısındırıyor şarjı çok yiyo 
Ve hep donuyooo"
positive,yEET
positive,IOS 12.0 fakat güncelleme gelmedi bir türlü telefonuma IPhone 7
negative,Şarjınız %1 kem açmayın yoksaaaa...😵
negative,Bu snapler gönderilmiyor
positive,Kullanıcı adını değiştirme özelliği gelsin artık lütfen skorum yüksek olduğu için yeniden hesap açmak istemiyorum ve bu kullanıcı adını değiştirmek istiyorum
negative,Eski menü ekranına dönmesi kendisi için ve bizim için daha iyi olacak yoksa uygulaması yavaş yavaş biter
negative,"Bu uygulama nasıl silinir,,, lütfen birileri yardımcı olsun."
positive,"Benim telefonumda hiçbir sıkıntı yaşanmıyor, ve efenklerden de memnunum, daha iyisini de ileriki zamanlarda yapar snapchat ailesi. 💁🏻‍♀️"
negative,Anılarıma bakıyordum telefon dondu ve snapchat kapandı sonrasında anılarımdan bir kaç video ve fotoğrafın silindiğini gördüm bunun sebebi nedir acil düzeltilebilir mi lütfen !!
negative,Ben yüklemiştim ama sonra silmiştim şimdi ise geri yükleyemiyorum!!
negative,Anne ogul filtrelerii neden yok
negative,Hikaye paylaşırken saati paylaşamıyorum acil destek
neutral,Anılara girdiğinim anda uygulamadan atıyor
negative,Telefonun şarjını resmen sömürüyor ve telefon yanıyor patlıcakkkk
negative,Çok kötü yarım saatte filtreker yükleniyo anılarda açılmıyor
neutral,Çok şarj yiyor
negative,Yuzde kac sarjiniz olursa olsun girer girmez bitiren bir uygulama haline geldi.
negative,"Hala başka bir telefondan hesap oluşturamıyorum ve açılan bir hesaba tekrar giriş yapamıyorum. Düzeltin bunu , bir şey beceremiyorsunuz."
positive,Çektiğim videolarda ses çkmıyo cızırtı çıkıyo telefonumun kendi video çekerken sıkıntı yok uygulamayı tekrar indirdim gücelledim ama gitmiyo yardımcı olun pls
negative,efso
negative,Son günlerde Çektiğim fotoğrafların hepsi silinmiş neden böyle oldu geri istiyorum fotoğraflarımı bu nasıl bir saçmalık 😤
neutral,Ağzımızdan gökkuşağı çıkan efekt geri gelsin neden gitti !?
positive,BENİM EN SEVDİĞİM UYGULAMA ÖZELLİKLE BİTMOJİ İLE EFSANE OLUYOR HEMEN İNDİRİN TAVSİYE EDERİM(bu arada şarjım çabuk bitiyor falan diyenler yalan atıyo 🤥 )
negative,kendiliğinden ve üstelik geriye eskilerinden çok az kalmış nasıl geri gelecek buna bir çözüm bulun fotoğraflarımı alacağım yoksa şikayet edilir durumda!
negative,Telefonumu yavaşlatıyor ve bu uygulamaya kesinlikle son görülme eklenmesi lazım. Ayrıca eski snapchatten eser kalmadı. Eski arayüze geri dönülsün.
negative,zaten uygulama 300 mb bide efktleri de indiriyo kurduktan sonra bi de ordan sikiyolar bizi gereksiz bir uygulama indirmeyin boşuna....
negative,"Telefonumu sıfırladım sonra tekrar yükledim ama snapchatteki anılarımın hepsi kayboldu ağlayacağım biri yardım etsin lütfen. Sanki yeni kaydolmuşum gibi davranıyor, kullanıcı adım eski adım ama arkadaşlarım falan da ekli değil"
negative,Şarj sömürüyor sadece
negative,Videolarda ses kaydı yok 1 haftadır sorun genel mi
positive,I can't see who watch my “our stories” that 26 people watch
neutral,Çok kasıyor ve telefon ısınıyor ve zor odaklıyor. Kameramda böyle bir şey yaşamıyorum benim telefonumda mı sıkıntı var uygulamada mı? (iPhone 6)
negative,"While watching a snap i recognize my phone gets warmer and the charge is getting down so fast. 
Please make some updates that prevent this big issue"
negative,Hem çok ısınıyor hem de şarj hızlı bitiyor
negative,Her efekte o salak kirpik ve makyaj efektini koymaktan vazgeçin! Veya ekrana dokununca o makyaj efektini kaldırabilip sadece kulaklı burunlu köpek vb. Efektleri kullanabilelim.
negative,"Seri yaptığımızda (streak) ateşler anlamsızca gidiyor. 24 saat içinde iki kişinin karşılıklı bir snap atmasıyla gerçekleşen bu olayda ne kadar snapleşsekte kum saati gitmiyor ve en sonunda ateş gidiyor. Ayrıyetten snapchatin içindeyken telefon aşırı kasıyor ve ısınıyor.(telefonda hafıza alanı boş, anılar nerdeyse boş, mesajlar tamamen silinik olduğu halde...)"
negative,Bana özel şifresi için güncelleme gelmeli. Şifremi unuttum ve fotoğrafları alamıyorum.
positive,İlk başta sıkıcı ve gereksiz gibi gelebilir fakat alıştıktan sonra çok güzel
positive,Gelmesi gereken özelliklerde kesinlikle toplu snap listeleri var.
negative,Mal gibi
negative,Ya kardeşim çıldırtacak mısınız samsungcular bildirimsiz ss alabiliyor iphonecular alamıyor haksızlık bu ya ss bildirimlerini kapayın kardeşim ss almak istiyoruz yeter be
negative,Sarjı çok yiyor hızlı bitiyor
neutral,uygulamaya girince internet çok yavaşlıyor ve efektler yüklenmiyor
negative,Bana özeldeki fotoğraflarım açılmıyor.
positive,Şarzı çok yemese ve telefonu ısındırmasa güzel bir uygulama aslınsa!..
negative,Çektiğim videolarda ses yok sesi kaydetmiyor
negative,Snapchat galerisine girince uygulama kendi kendine atıyor yardımcı olun
positive,Kullanıcı adı değiştirme özelliği acilen gelmeli. Çoğu kişi bu programı ortaokulda hatta ortaokulu bırakın ilkokulda kullanmaya başlayanlar var. Dolayısıyla bazı insanlar rezil isimler seçti ve değiştiremiyoruz. Tekrar ediyorum kullanıcı adı değiştirme özelliği gelmeli.
negative,Waste of time
negative,Hep bir sorun var.
negative,Fotoğraflara tıklayınca kapanıyor 🤷‍♂️🙅‍♂️🤦🏼‍♂️
negative,There is frequent application crash when i enter memories.Please solve the problem.(iPhone 8 Plus)
neutral,Sarji cok cabuk bitiriyor ve cok internet harciyor.
negative,Eski efekler yerine gelsin köpekli snep şu an çok kötü yer işgali olarak görüyorum snepcet i silicem artık son güncellemede düzelmezse
positive,Baya beyendim. Çok iyi bir uygulama. 5 üzerinden 10 veriyorum.
negative,Anilarim silinmis herhangi birine de oldumu? Lutfen cevap verin
neutral,BUGÜN ARKADAŞIMLA YAPTIĞIMIZ STREAK 800 GÜNE ULAŞTI. BENCE ÖDÜL VERMELİSİNİZ HAK EDİYORUZ EN AZINDAN 1000 OLDUĞUMUZDA 🙄🙄
positive,Arika müthiş baya iyi
positive,kulanıcı adı değiştirme özelliğiiii
neutral,Nedennn
positive,"Snapchat map açılmıyor, güncelleme hatası mı?"
negative,Şarjı çok çabuk bitiriyor ve telefon aşırı ısınıyor kullanmak istesem de kullanamıyorum 😭😔😔
negative,Arkadaşa özel atılan snapte hem karşı tarafın hem benim bitmojimin birlikte olduğu bitmojiler yok sadece kendi bitmojilerim çıkıyor 😑
neutral,Telefon çok donuyor şarjı çabuk bitiyor bence snapten dolayı
positive,Muhteşem ötesi  bir uygulama  🌹🤡🦄😻
positive,Hikayemize hikayelerimizi gönderince kimin baktığını görebilelim Aynı hikayeme attığım hikayeleri görenler gibi
negative,Arka fonda actigimiz muzikler calmiyor
negative,SES TUŞUYLA FOTOĞRAF ÇEKEMİYORUM!
negative,Uygulamanız güzel ama çok hızlı şarj bitiriyor düzeltirseniz iyi olur.
positive,Hiç bir kötülüğü yok şarjımızı götürüyor ama yinede götürdüğüne deyiyor
negative,Snapchatte 8 saniye durduktan atıyor (6 S)
negative,"İphone 6 cihazlarında donuyor, kasıyor acil çözüm. Şarjı yemiyor bildiğin içiyor."
positive,ŞARJ SORUNUNU HALLEDİN ÇOK ÇABUM BİTİYOR
positive,Ben snapı çok beğendim hiç sıkıntı yok
negative,Son bir ayda çekilen fotoğraflarım kendiliğinden silindi !!!
negative,Yeni efektler güncelleyin be..
negative,Ağa bağlanamadı uyarısı alıp giremiyorum uygulamay?
negative,24 saat dolmadan sürekli serileri bitiyor
negative,Son güncellemeden sonra iyice saçmaladı uygulama zaten %100 deki şarjı 20 dakikada bitirdiği yetmiyormuş gibi bide efektleri azalttı oyun gibi şeyler getirdi gerek yok böyle şeylere?
